time,sst
01/01/2020,29.8155746
01/02/2020,29.6057587
01/03/2020,30.2001896
01/04/2020,30.3566952
01/05/2020,29.6890182
01/06/2020,29.1237793
01/07/2020,28.1585503
01/08/2020,28.0754948
02/09/2020,28.3559322
01/10/2020,29.2642422
01/11/2020,30.3901539
01/12/2020,29.4352245
